tanggal,bulan,tahun,komoditi,satuan,harga
15,november,2018,Jagung Pipilan Kecil,Kg,"16,233"
16,november,2018,Jagung Pipilan Kecil,Kg,"16,233"
19,november,2018,Jagung Pipilan Kecil,Kg,"16,233"
21,november,2018,Jagung Pipilan Kecil,Kg,"16,233"
22,november,2018,Jagung Pipilan Kecil,Kg,"16,000"
23,november,2018,Jagung Pipilan Kecil,Kg,"16,000"
26,november,2018,Jagung Pipilan Kecil,Kg,"16,000"
27,november,2018,Jagung Pipilan Kecil,Kg,"16,000"
28,november,2018,Jagung Pipilan Kecil,Kg,"16,000"
29,november,2018,Jagung Pipilan Kecil,Kg,"16,000"
30,november,2018,Jagung Pipilan Kecil,Kg,"16,000"
1,november,2018,Garam Beryodium Bata,250 gr,"3,280"
2,november,2018,Garam Beryodium Bata,250 gr,"3,420"
5,november,2018,Garam Beryodium Bata,250 gr,"3,420"
6,november,2018,Garam Beryodium Bata,250 gr,"3,220"
7,november,2018,Garam Beryodium Bata,250 gr,"3,120"
8,november,2018,Garam Beryodium Bata,250 gr,"3,220"
9,november,2018,Garam Beryodium Bata,250 gr,"3,200"
12,november,2018,Garam Beryodium Bata,250 gr,"3,380"
13,november,2018,Garam Beryodium Bata,250 gr,"3,540"
14,november,2018,Garam Beryodium Bata,250 gr,"3,500"
15,november,2018,Garam Beryodium Bata,250 gr,"3,780"
16,november,2018,Garam Beryodium Bata,250 gr,"3,680"
19,november,2018,Garam Beryodium Bata,250 gr,"3,680"
21,november,2018,Garam Beryodium Bata,250 gr,"3,780"
22,november,2018,Garam Beryodium Bata,250 gr,"3,780"
23,november,2018,Garam Beryodium Bata,250 gr,"3,780"
26,november,2018,Garam Beryodium Bata,250 gr,"3,780"
27,november,2018,Garam Beryodium Bata,250 gr,"3,780"
28,november,2018,Garam Beryodium Bata,250 gr,"3,780"
29,november,2018,Garam Beryodium Bata,250 gr,"3,780"
30,november,2018,Garam Beryodium Bata,250 gr,"3,780"
1,november,2018,Garam Beryodium Halus,Kg,"10,940"
2,november,2018,Garam Beryodium Halus,Kg,"10,940"
5,november,2018,Garam Beryodium Halus,Kg,"10,940"
6,november,2018,Garam Beryodium Halus,Kg,"10,840"
7,november,2018,Garam Beryodium Halus,Kg,"10,740"
8,november,2018,Garam Beryodium Halus,Kg,"11,440"
9,november,2018,Garam Beryodium Halus,Kg,"10,340"
12,november,2018,Garam Beryodium Halus,Kg,"11,040"
13,november,2018,Garam Beryodium Halus,Kg,"10,800"
14,november,2018,Garam Beryodium Halus,Kg,"10,700"
15,november,2018,Garam Beryodium Halus,Kg,"10,800"
16,november,2018,Garam Beryodium Halus,Kg,"10,500"
19,november,2018,Garam Beryodium Halus,Kg,"11,800"
21,november,2018,Garam Beryodium Halus,Kg,"10,400"
22,november,2018,Garam Beryodium Halus,Kg,"10,400"
23,november,2018,Garam Beryodium Halus,Kg,"10,200"
26,november,2018,Garam Beryodium Halus,Kg,"10,700"
27,november,2018,Garam Beryodium Halus,Kg,"10,400"
28,november,2018,Garam Beryodium Halus,Kg,"10,500"
29,november,2018,Garam Beryodium Halus,Kg,"10,500"
30,november,2018,Garam Beryodium Halus,Kg,"10,900"
1,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,100"
2,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,100"
5,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,100"
6,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,100"
7,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,300"
8,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,200"
9,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,100"
12,november,2018,Tepung Terigu Segitiga Biru,Kg,"9,900"
13,november,2018,Tepung Terigu Segitiga Biru,Kg,"9,900"
14,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,100"
15,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,540"
16,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,340"
19,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,340"
21,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,440"
22,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,740"
23,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,640"
26,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,740"
27,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,640"
28,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,740"
29,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,540"
30,november,2018,Tepung Terigu Segitiga Biru,Kg,"10,840"
1,november,2018,Kacang Kedelai Eks Impor,Kg,"12,075"
2,november,2018,Kacang Kedelai Eks Impor,Kg,"12,325"
5,november,2018,Kacang Kedelai Eks Impor,Kg,"12,450"
6,november,2018,Kacang Kedelai Eks Impor,Kg,"12,325"
7,november,2018,Kacang Kedelai Eks Impor,Kg,"13,325"
8,november,2018,Kacang Kedelai Eks Impor,Kg,"12,700"
9,november,2018,Kacang Kedelai Eks Impor,Kg,"12,825"
12,november,2018,Kacang Kedelai Eks Impor,Kg,"12,325"
13,november,2018,Kacang Kedelai Eks Impor,Kg,"12,175"
14,november,2018,Kacang Kedelai Eks Impor,Kg,"12,550"
15,november,2018,Kacang Kedelai Eks Impor,Kg,"12,750"
16,november,2018,Kacang Kedelai Eks Impor,Kg,"11,750"
19,november,2018,Kacang Kedelai Eks Impor,Kg,"12,125"
21,november,2018,Kacang Kedelai Eks Impor,Kg,"12,125"
22,november,2018,Kacang Kedelai Eks Impor,Kg,"12,250"
23,november,2018,Kacang Kedelai Eks Impor,Kg,"12,125"
26,november,2018,Kacang Kedelai Eks Impor,Kg,"12,250"
27,november,2018,Kacang Kedelai Eks Impor,Kg,"12,250"
28,november,2018,Kacang Kedelai Eks Impor,Kg,"13,125"
29,november,2018,Kacang Kedelai Eks Impor,Kg,"12,125"
30,november,2018,Kacang Kedelai Eks Impor,Kg,"12,250"
1,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
2,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
5,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
6,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
7,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
8,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
9,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
12,november,2018,Kacang Kedelai Lokal,Kg,"12,850"
13,november,2018,Kacang Kedelai Lokal,Kg,"12,000"
14,november,2018,Kacang Kedelai Lokal,Kg,"12,000"
15,november,2018,Kacang Kedelai Lokal,Kg,"12,000"
16,november,2018,Kacang Kedelai Lokal,Kg,"12,000"
19,november,2018,Kacang Kedelai Lokal,Kg,"12,000"
21,november,2018,Kacang Kedelai Lokal,Kg,"12,000"
22,november,2018,Kacang Kedelai Lokal,Kg,"12,100"
23,november,2018,Kacang Kedelai Lokal,Kg,"12,100"
26,november,2018,Kacang Kedelai Lokal,Kg,"12,100"
27,november,2018,Kacang Kedelai Lokal,Kg,"12,100"
28,november,2018,Kacang Kedelai Lokal,Kg,"12,100"
29,november,2018,Kacang Kedelai Lokal,Kg,"12,100"
30,november,2018,Kacang Kedelai Lokal,Kg,"12,100"
1,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
2,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
5,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
6,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
7,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
8,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
9,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
12,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
13,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
14,november,2018,Indomie Rasa Kari Ayam,buah,"2,440"
15,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
16,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
19,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
21,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
22,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
23,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
26,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
27,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
28,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
29,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
30,november,2018,Indomie Rasa Kari Ayam,buah,"2,460"
1,november,2018,Cabai Merah Kriting,Kg,"42,400"
2,november,2018,Cabai Merah Kriting,Kg,"38,400"
5,november,2018,Cabai Merah Kriting,Kg,"37,400"
6,november,2018,Cabai Merah Kriting,Kg,"36,400"
7,november,2018,Cabai Merah Kriting,Kg,"38,900"
8,november,2018,Cabai Merah Kriting,Kg,"36,900"
9,november,2018,Cabai Merah Kriting,Kg,"37,400"
12,november,2018,Cabai Merah Kriting,Kg,"36,400"
13,november,2018,Cabai Merah Kriting,Kg,"36,660"
14,november,2018,Cabai Merah Kriting,Kg,"36,160"
15,november,2018,Cabai Merah Kriting,Kg,"37,260"
16,november,2018,Cabai Merah Kriting,Kg,"35,760"
19,november,2018,Cabai Merah Kriting,Kg,"36,760"
21,november,2018,Cabai Merah Kriting,Kg,"35,760"
22,november,2018,Cabai Merah Kriting,Kg,"35,760"
23,november,2018,Cabai Merah Kriting,Kg,"35,760"
26,november,2018,Cabai Merah Kriting,Kg,"34,260"
27,november,2018,Cabai Merah Kriting,Kg,"32,760"
28,november,2018,Cabai Merah Kriting,Kg,"35,760"
29,november,2018,Cabai Merah Kriting,Kg,"34,760"
30,november,2018,Cabai Merah Kriting,Kg,"35,260"
1,november,2018,Cabai Merah Besar,Kg,"41,000"
2,november,2018,Cabai Merah Besar,Kg,"38,000"
5,november,2018,Cabai Merah Besar,Kg,"38,000"
6,november,2018,Cabai Merah Besar,Kg,"39,000"
7,november,2018,Cabai Merah Besar,Kg,"38,500"
8,november,2018,Cabai Merah Besar,Kg,"36,500"
9,november,2018,Cabai Merah Besar,Kg,"36,000"
12,november,2018,Cabai Merah Besar,Kg,"35,500"
13,november,2018,Cabai Merah Besar,Kg,"37,160"
14,november,2018,Cabai Merah Besar,Kg,"37,160"
15,november,2018,Cabai Merah Besar,Kg,"36,160"
16,november,2018,Cabai Merah Besar,Kg,"37,160"
19,november,2018,Cabai Merah Besar,Kg,"35,660"
21,november,2018,Cabai Merah Besar,Kg,"35,860"
22,november,2018,Cabai Merah Besar,Kg,"36,160"
23,november,2018,Cabai Merah Besar,Kg,"37,160"
26,november,2018,Cabai Merah Besar,Kg,"36,660"
27,november,2018,Cabai Merah Besar,Kg,"34,660"
28,november,2018,Cabai Merah Besar,Kg,"37,660"
29,november,2018,Cabai Merah Besar,Kg,"37,160"
30,november,2018,Cabai Merah Besar,Kg,"37,660"
1,november,2018,Cabai Rawit Merah,Kg,"37,640"
2,november,2018,Cabai Rawit Merah,Kg,"35,640"
5,november,2018,Cabai Rawit Merah,Kg,"35,240"
6,november,2018,Cabai Rawit Merah,Kg,"34,240"
7,november,2018,Cabai Rawit Merah,Kg,"35,240"
8,november,2018,Cabai Rawit Merah,Kg,"37,640"
9,november,2018,Cabai Rawit Merah,Kg,"39,140"
12,november,2018,Cabai Rawit Merah,Kg,"36,140"
13,november,2018,Cabai Rawit Merah,Kg,"39,660"
14,november,2018,Cabai Rawit Merah,Kg,"40,160"
15,november,2018,Cabai Rawit Merah,Kg,"37,860"
16,november,2018,Cabai Rawit Merah,Kg,"35,860"
19,november,2018,Cabai Rawit Merah,Kg,"36,860"
21,november,2018,Cabai Rawit Merah,Kg,"34,460"
22,november,2018,Cabai Rawit Merah,Kg,"35,360"
23,november,2018,Cabai Rawit Merah,Kg,"33,860"
26,november,2018,Cabai Rawit Merah,Kg,"33,860"
27,november,2018,Cabai Rawit Merah,Kg,"32,860"
28,november,2018,Cabai Rawit Merah,Kg,"34,860"
29,november,2018,Cabai Rawit Merah,Kg,"34,360"
30,november,2018,Cabai Rawit Merah,Kg,"34,860"
1,november,2018,Cabai Rawit Hijau,Kg,"37,260"
2,november,2018,Cabai Rawit Hijau,Kg,"35,160"
5,november,2018,Cabai Rawit Hijau,Kg,"34,360"
6,november,2018,Cabai Rawit Hijau,Kg,"33,360"
7,november,2018,Cabai Rawit Hijau,Kg,"34,060"
8,november,2018,Cabai Rawit Hijau,Kg,"33,760"
9,november,2018,Cabai Rawit Hijau,Kg,"35,260"
12,november,2018,Cabai Rawit Hijau,Kg,"32,760"
13,november,2018,Cabai Rawit Hijau,Kg,"32,540"
14,november,2018,Cabai Rawit Hijau,Kg,"32,040"
15,november,2018,Cabai Rawit Hijau,Kg,"33,200"
16,november,2018,Cabai Rawit Hijau,Kg,"32,400"
19,november,2018,Cabai Rawit Hijau,Kg,"34,000"
21,november,2018,Cabai Rawit Hijau,Kg,"31,600"
22,november,2018,Cabai Rawit Hijau,Kg,"32,700"
23,november,2018,Cabai Rawit Hijau,Kg,"30,200"
26,november,2018,Cabai Rawit Hijau,Kg,"30,200"
27,november,2018,Cabai Rawit Hijau,Kg,"30,200"
28,november,2018,Cabai Rawit Hijau,Kg,"32,200"
29,november,2018,Cabai Rawit Hijau,Kg,"34,300"
30,november,2018,Cabai Rawit Hijau,Kg,"34,200"
1,november,2018,Bawang Merah (Medium),Kg,"25,260"
2,november,2018,Bawang Merah (Medium),Kg,"26,960"
5,november,2018,Bawang Merah (Medium),Kg,"26,160"
6,november,2018,Bawang Merah (Medium),Kg,"26,160"
7,november,2018,Bawang Merah (Medium),Kg,"27,660"
8,november,2018,Bawang Merah (Medium),Kg,"26,560"
9,november,2018,Bawang Merah (Medium),Kg,"27,060"
12,november,2018,Bawang Merah (Medium),Kg,"27,860"
13,november,2018,Bawang Merah (Medium),Kg,"29,140"
14,november,2018,Bawang Merah (Medium),Kg,"28,340"
15,november,2018,Bawang Merah (Medium),Kg,"28,060"
16,november,2018,Bawang Merah (Medium),Kg,"27,060"
19,november,2018,Bawang Merah (Medium),Kg,"27,360"
21,november,2018,Bawang Merah (Medium),Kg,"28,760"
22,november,2018,Bawang Merah (Medium),Kg,"29,460"
23,november,2018,Bawang Merah (Medium),Kg,"29,260"
26,november,2018,Bawang Merah (Medium),Kg,"29,060"
27,november,2018,Bawang Merah (Medium),Kg,"28,660"
28,november,2018,Bawang Merah (Medium),Kg,"30,960"
29,november,2018,Bawang Merah (Medium),Kg,"30,060"
30,november,2018,Bawang Merah (Medium),Kg,"30,060"
1,november,2018,"Bawang Putih Impor, Kating",Kg,"29,000"
2,november,2018,"Bawang Putih Impor, Kating",Kg,"29,600"
5,november,2018,"Bawang Putih Impor, Kating",Kg,"28,700"
6,november,2018,"Bawang Putih Impor, Kating",Kg,"28,600"
7,november,2018,"Bawang Putih Impor, Kating",Kg,"30,100"
8,november,2018,"Bawang Putih Impor, Kating",Kg,"29,600"
9,november,2018,"Bawang Putih Impor, Kating",Kg,"29,300"
12,november,2018,"Bawang Putih Impor, Kating",Kg,"28,600"
13,november,2018,"Bawang Putih Impor, Kating",Kg,"28,740"
14,november,2018,"Bawang Putih Impor, Kating",Kg,"28,940"
15,november,2018,"Bawang Putih Impor, Kating",Kg,"29,460"
16,november,2018,"Bawang Putih Impor, Kating",Kg,"28,160"
19,november,2018,"Bawang Putih Impor, Kating",Kg,"28,660"
21,november,2018,"Bawang Putih Impor, Kating",Kg,"29,260"
22,november,2018,"Bawang Putih Impor, Kating",Kg,"29,500"
23,november,2018,"Bawang Putih Impor, Kating",Kg,"29,600"
26,november,2018,"Bawang Putih Impor, Kating",Kg,"29,600"
27,november,2018,"Bawang Putih Impor, Kating",Kg,"29,600"
28,november,2018,"Bawang Putih Impor, Kating",Kg,"32,600"
29,november,2018,"Bawang Putih Impor, Kating",Kg,"28,600"
30,november,2018,"Bawang Putih Impor, Kating",Kg,"30,100"
1,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
2,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
5,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
6,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
7,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
8,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
9,november,2018,"Bawang Putih Impor, Honan",Kg,"25,000"
12,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
13,november,2018,"Bawang Putih Impor, Honan",Kg,"25,000"
14,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
15,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
16,november,2018,"Bawang Putih Impor, Honan",Kg,"24,000"
19,november,2018,"Bawang Putih Impor, Honan",Kg,"24,000"
21,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
22,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
23,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
26,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
27,november,2018,"Bawang Putih Impor, Honan",Kg,"28,000"
28,november,2018,"Bawang Putih Impor, Honan",Kg,"28,000"
29,november,2018,"Bawang Putih Impor, Honan",Kg,"26,500"
30,november,2018,"Bawang Putih Impor, Honan",Kg,"28,000"
1,november,2018,Ikan Teri Asin,Kg,"106,640"
2,november,2018,Ikan Teri Asin,Kg,"108,340"
5,november,2018,Ikan Teri Asin,Kg,"108,340"
6,november,2018,Ikan Teri Asin,Kg,"106,340"
7,november,2018,Ikan Teri Asin,Kg,"112,340"
8,november,2018,Ikan Teri Asin,Kg,"108,840"
9,november,2018,Ikan Teri Asin,Kg,"108,340"
12,november,2018,Ikan Teri Asin,Kg,"108,340"
13,november,2018,Ikan Teri Asin,Kg,"110,500"
14,november,2018,Ikan Teri Asin,Kg,"111,500"
15,november,2018,Ikan Teri Asin,Kg,"122,340"
16,november,2018,Ikan Teri Asin,Kg,"118,040"
19,november,2018,Ikan Teri Asin,Kg,"119,340"
21,november,2018,Ikan Teri Asin,Kg,"121,340"
22,november,2018,Ikan Teri Asin,Kg,"122,660"
23,november,2018,Ikan Teri Asin,Kg,"116,660"
26,november,2018,Ikan Teri Asin,Kg,"118,660"
27,november,2018,Ikan Teri Asin,Kg,"118,660"
28,november,2018,Ikan Teri Asin,Kg,"120,660"
29,november,2018,Ikan Teri Asin,Kg,"125,660"
30,november,2018,Ikan Teri Asin,Kg,"120,660"
1,november,2018,Ikan Kembung,Kg,"35,200"
2,november,2018,Ikan Kembung,Kg,"36,200"
5,november,2018,Ikan Kembung,Kg,"37,200"
6,november,2018,Ikan Kembung,Kg,"37,200"
7,november,2018,Ikan Kembung,Kg,"37,200"
8,november,2018,Ikan Kembung,Kg,"37,200"
9,november,2018,Ikan Kembung,Kg,"36,700"
12,november,2018,Ikan Kembung,Kg,"35,200"
13,november,2018,Ikan Kembung,Kg,"38,360"
14,november,2018,Ikan Kembung,Kg,"37,860"
15,november,2018,Ikan Kembung,Kg,"38,940"
16,november,2018,Ikan Kembung,Kg,"37,740"
19,november,2018,Ikan Kembung,Kg,"37,940"
21,november,2018,Ikan Kembung,Kg,"38,940"
22,november,2018,Ikan Kembung,Kg,"37,660"
23,november,2018,Ikan Kembung,Kg,"37,660"
26,november,2018,Ikan Kembung,Kg,"37,660"
27,november,2018,Ikan Kembung,Kg,"37,660"
28,november,2018,Ikan Kembung,Kg,"38,660"
29,november,2018,Ikan Kembung,Kg,"40,660"
30,november,2018,Ikan Kembung,Kg,"39,660"
1,november,2018,Kacang Hijau,Kg,"20,860"
2,november,2018,Kacang Hijau,Kg,"21,460"
5,november,2018,Kacang Hijau,Kg,"22,260"
6,november,2018,Kacang Hijau,Kg,"21,960"
7,november,2018,Kacang Hijau,Kg,"22,560"
8,november,2018,Kacang Hijau,Kg,"22,660"
9,november,2018,Kacang Hijau,Kg,"22,360"
12,november,2018,Kacang Hijau,Kg,"21,860"
13,november,2018,Kacang Hijau,Kg,"22,600"
14,november,2018,Kacang Hijau,Kg,"22,600"
15,november,2018,Kacang Hijau,Kg,"23,600"
16,november,2018,Kacang Hijau,Kg,"22,400"
19,november,2018,Kacang Hijau,Kg,"22,800"
21,november,2018,Kacang Hijau,Kg,"23,200"
22,november,2018,Kacang Hijau,Kg,"22,900"
23,november,2018,Kacang Hijau,Kg,"22,600"
26,november,2018,Kacang Hijau,Kg,"22,700"
27,november,2018,Kacang Hijau,Kg,"22,600"
28,november,2018,Kacang Hijau,Kg,"22,600"
29,november,2018,Kacang Hijau,Kg,"23,000"
30,november,2018,Kacang Hijau,Kg,"22,100"
1,november,2018,Kacang Tanah,Kg,"25,260"
2,november,2018,Kacang Tanah,Kg,"24,060"
5,november,2018,Kacang Tanah,Kg,"24,060"
6,november,2018,Kacang Tanah,Kg,"23,560"
7,november,2018,Kacang Tanah,Kg,"24,960"
8,november,2018,Kacang Tanah,Kg,"23,960"
9,november,2018,Kacang Tanah,Kg,"24,360"
12,november,2018,Kacang Tanah,Kg,"24,160"
13,november,2018,Kacang Tanah,Kg,"25,100"
14,november,2018,Kacang Tanah,Kg,"25,000"
15,november,2018,Kacang Tanah,Kg,"25,740"
16,november,2018,Kacang Tanah,Kg,"24,740"
19,november,2018,Kacang Tanah,Kg,"24,940"
21,november,2018,Kacang Tanah,Kg,"25,240"
22,november,2018,Kacang Tanah,Kg,"25,200"
23,november,2018,Kacang Tanah,Kg,"24,600"
26,november,2018,Kacang Tanah,Kg,"25,000"
27,november,2018,Kacang Tanah,Kg,"24,800"
28,november,2018,Kacang Tanah,Kg,"25,400"
29,november,2018,Kacang Tanah,Kg,"25,500"
30,november,2018,Kacang Tanah,Kg,"24,900"
1,november,2018,Ketela Pohon,Kg,"5,200"
2,november,2018,Ketela Pohon,Kg,"5,400"
5,november,2018,Ketela Pohon,Kg,"5,400"
6,november,2018,Ketela Pohon,Kg,"5,400"
7,november,2018,Ketela Pohon,Kg,"5,400"
8,november,2018,Ketela Pohon,Kg,"5,400"
9,november,2018,Ketela Pohon,Kg,"5,400"
12,november,2018,Ketela Pohon,Kg,"5,400"
13,november,2018,Ketela Pohon,Kg,"5,260"
14,november,2018,Ketela Pohon,Kg,"5,260"
15,november,2018,Ketela Pohon,Kg,"5,200"
16,november,2018,Ketela Pohon,Kg,"5,200"
19,november,2018,Ketela Pohon,Kg,"5,200"
21,november,2018,Ketela Pohon,Kg,"5,200"
22,november,2018,Ketela Pohon,Kg,"5,200"
23,november,2018,Ketela Pohon,Kg,"5,400"
26,november,2018,Ketela Pohon,Kg,"5,400"
27,november,2018,Ketela Pohon,Kg,"5,200"
28,november,2018,Ketela Pohon,Kg,"5,200"
29,november,2018,Ketela Pohon,Kg,"5,200"
30,november,2018,Ketela Pohon,Kg,"5,200"
