tanggal,bulan,tahun,komoditi,satuan,harga
28,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"121,000"
29,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"119,000"
30,november,2018,"Daging Sapi, Lokal, Paha Belakang",Kg,"119,000"
1,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
2,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
5,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
6,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
7,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"131,667"
8,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
9,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
12,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
13,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
14,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"130,000"
15,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
16,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
19,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
21,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
22,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
23,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
26,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
27,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
28,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"133,333"
29,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
30,november,2018,"Daging Sapi, Lokal, Daging, Has Luar (Sirloin)",Kg,"126,667"
1,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"100,000"
2,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"100,000"
5,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
6,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
7,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"100,000"
8,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
9,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"106,667"
12,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
13,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
14,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"106,667"
15,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"101,667"
16,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
19,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
21,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"100,000"
22,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"100,000"
23,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
