TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
08/01/2018;Gula Pasir;Kg;13640;;;;;;
08/01/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
08/01/2018;Kacang Kedelai Eks impor;Kg;12800;;;;;;
08/01/2018;Minyak Goreng Curah;Liter;12200;;;;;;
08/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11940;;;;;;
08/01/2018;Beras Medium;Kg;11740;;;;;;
08/01/2018;Garam Beryodium Halus;Kg;11460;;;;;;
08/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10300;;;;;;
08/01/2018;Tepung Terigu Segitiga Biru;Kg;9610;;;;;;
08/01/2018;Ketela Pohon;Kg;4960;;;;;;
08/01/2018;Kacang Kedelai Lokal;Kg;3333;;;;;;
08/01/2018;Garam Beryodium Bata;250 gr;3120;;;;;;
08/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2400;;;;;;
08/01/2018;Telur Ayam Kampung;butir;2120;;;;;;
09/01/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
09/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
09/01/2018;Daging Sapi Lokal Paha Belakang;Kg;117660;;;;;;
09/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;116667;;;;;;
09/01/2018;Ikan Teri Asin;Kg;105200;;;;;;
09/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;95000;;;;;;
09/01/2018;Ayam Kampung;ekor;82100;;;;;;
09/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;81667;;;;;;
09/01/2018;Cabai Rawit Merah;Kg;54340;;;;;;
09/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;44167;;;;;;
09/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42500;;;;;;
09/01/2018;Cabai Merah Besar;Kg;39340;;;;;;
09/01/2018;Cabai Merah Keriting;Kg;38600;;;;;;
09/01/2018;Cabai Rawit Hijau;Kg;38440;;;;;;
09/01/2018;Ayam Boiler;ekor;37300;;;;;;
09/01/2018;Ikan Kembung;Kg;36660;;;;;;
09/01/2018;Bawang Putih Impor (Honan);Kg;28500;;;;;;
09/01/2018;Bawang Putih Impor (Kating);Kg;28340;;;;;;
09/01/2018;Bawang Merah (Medium);Kg;28100;;;;;;
09/01/2018;Kacang Tanah;Kg;26300;;;;;;
09/01/2018;Telur Ayam Ras;Kg;26260;;;;;;
09/01/2018;Kacang Hijau;Kg;23340;;;;;;
09/01/2018;Jagung Pipilan Kecil;Kg;15167;;;;;;
09/01/2018;Gula Pasir;Kg;13540;;;;;;
09/01/2018;Minyak Goreng Bimoli Botol;Liter;13400;;;;;;
09/01/2018;Minyak Goreng Curah;Liter;12625;;;;;;
09/01/2018;Garam Beryodium Halus;Kg;12300;;;;;;
09/01/2018;Kacang Kedelai Eks impor;Kg;12175;;;;;;
09/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11960;;;;;;
09/01/2018;Beras Medium;Kg;11480;;;;;;
09/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10440;;;;;;
09/01/2018;Tepung Terigu Segitiga Biru;Kg;9840;;;;;;
09/01/2018;Ketela Pohon;Kg;4900;;;;;;
09/01/2018;Kacang Kedelai Lokal;Kg;3667;;;;;;
09/01/2018;Garam Beryodium Bata;250 gr;3520;;;;;;
09/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2320;;;;;;
09/01/2018;Telur Ayam Kampung;butir;2110;;;;;;
10/01/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
10/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
10/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
10/01/2018;Daging Sapi Lokal Paha Belakang;Kg;118660;;;;;;
10/01/2018;Ikan Teri Asin;Kg;100660;;;;;;
10/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;98333;;;;;;
10/01/2018;Ayam Kampung;ekor;84000;;;;;;
10/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;65833;;;;;;
10/01/2018;Cabai Rawit Merah;Kg;48660;;;;;;
10/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;44167;;;;;;
10/01/2018;Cabai Merah Keriting;Kg;42860;;;;;;
10/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42400;;;;;;
10/01/2018;Cabai Merah Besar;Kg;40040;;;;;;
10/01/2018;Ikan Kembung;Kg;37660;;;;;;
10/01/2018;Ayam Boiler;ekor;36260;;;;;;
10/01/2018;Cabai Rawit Hijau;Kg;35540;;;;;;
10/01/2018;Bawang Putih Impor (Honan);Kg;28500;;;;;;
10/01/2018;Bawang Merah (Medium);Kg;28040;;;;;;
10/01/2018;Bawang Putih Impor (Kating);Kg;27140;;;;;;
10/01/2018;Telur Ayam Ras;Kg;26000;;;;;;
10/01/2018;Kacang Tanah;Kg;25600;;;;;;
10/01/2018;Kacang Hijau;Kg;23340;;;;;;
10/01/2018;Jagung Pipilan Kecil;Kg;15167;;;;;;
10/01/2018;Minyak Goreng Bimoli Botol;Liter;13640;;;;;;
10/01/2018;Gula Pasir;Kg;13600;;;;;;
10/01/2018;Garam Beryodium Halus;Kg;12660;;;;;;
10/01/2018;Kacang Kedelai Eks impor;Kg;12375;;;;;;
10/01/2018;Minyak Goreng Curah;Liter;12300;;;;;;
10/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12060;;;;;;
10/01/2018;Beras Medium;Kg;11620;;;;;;
10/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10300;;;;;;
10/01/2018;Tepung Terigu Segitiga Biru;Kg;9900;;;;;;
10/01/2018;Ketela Pohon;Kg;4800;;;;;;
10/01/2018;Garam Beryodium Bata;250 gr;3720;;;;;;
10/01/2018;Kacang Kedelai Lokal;Kg;3667;;;;;;
10/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2360;;;;;;
10/01/2018;Telur Ayam Kampung;butir;2160;;;;;;
11/01/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
11/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
11/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
11/01/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
11/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;101667;;;;;;
11/01/2018;Ikan Teri Asin;Kg;101660;;;;;;
