TANGGAL,KOMODITI,HARGA
11/01/2018,Susu Bubuk Kaleng Merk Indomilk,42400
11/01/2018,Jagung Pipilan Kecil,15500
11/01/2018,Garam Beryodium Bata,3920
11/01/2018,Garam Beryodium Halus,11460
11/01/2018,Tepung Terigu Segitiga Biru,10000
11/01/2018,Kacang Kedelai Eks impor,12500
11/01/2018,Kacang Kedelai Lokal,3667
11/01/2018,Mie Instan Indomie Rasa Kari Ayam,2360
11/01/2018,Cabe Merah Keriting,46860
11/01/2018,Cabe Merah Besar,42340
11/01/2018,Cabe Rawit Merah,53660
11/01/2018,Cabe Rawit Hijau,37040
11/01/2018,Bawang Merah (Medium),27340
11/01/2018,Bawang Putih Impor (Kating),27940
11/01/2018,Bawang Putih Impor (Honan),28500
11/01/2018,Ikan Teri Asin,101660
11/01/2018,Ikan Kembung,37660
11/01/2018,Kacang Hijau,22940
11/01/2018,Kacang Tanah,25500
11/01/2018,Ketela Pohon,4800
12/01/2018,Beras,11520
12/01/2018,Gula Pasir,13700
12/01/2018,Minyak Goreng Bimoli Botol,13440
12/01/2018,Minyak Goreng Curah,12300
12/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
12/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),120000
12/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),96667
12/01/2018,Daging Sapi, Lokal, Daging, Tetelan,73333
12/01/2018,Daging Sapi, Impor, Beku,120000
12/01/2018,Daging Sapi, Lokal, Has Dalam,142500
12/01/2018,Ayam Boiler,36260
12/01/2018,Ayam Kampung,88000
12/01/2018,Telur Ayam Ras,25700
12/01/2018,Telur Ayam Kampung,2160
12/01/2018,Susu Kental Manis Kaleng Merk Bendera,11610
12/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10300
12/01/2018,Susu Bubuk Kaleng Merk Bendera,44167
12/01/2018,Susu Bubuk Kaleng Merk Indomilk,42400
12/01/2018,Jagung Pipilan Kecil,15500
12/01/2018,Garam Beryodium Bata,3720
12/01/2018,Garam Beryodium Halus,11360
12/01/2018,Tepung Terigu Segitiga Biru,9900
12/01/2018,Kacang Kedelai Eks impor,12000
12/01/2018,Kacang Kedelai Lokal,3667
12/01/2018,Mie Instan Indomie Rasa Kari Ayam,2360
12/01/2018,Cabe Merah Keriting,44360
12/01/2018,Cabe Merah Besar,41040
12/01/2018,Cabe Rawit Merah,49160
12/01/2018,Cabe Rawit Hijau,38340
12/01/2018,Bawang Merah (Medium),25640
12/01/2018,Bawang Putih Impor (Kating),27440
12/01/2018,Bawang Putih Impor (Honan),26000
12/01/2018,Ikan Teri Asin,100960
12/01/2018,Ikan Kembung,37660
12/01/2018,Kacang Hijau,22240
12/01/2018,Kacang Tanah,25700
12/01/2018,Ketela Pohon,4800
15/01/2018,Beras,12240
15/01/2018,Gula Pasir,14040
15/01/2018,Minyak Goreng Bimoli Botol,13510
15/01/2018,Minyak Goreng Curah,12625
15/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
15/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),121667
15/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),101667
15/01/2018,Daging Sapi, Lokal, Daging, Tetelan,70000
15/01/2018,Daging Sapi, Impor, Beku,120000
15/01/2018,Daging Sapi, Lokal, Has Dalam,148333
15/01/2018,Ayam Boiler,37460
15/01/2018,Ayam Kampung,85767
15/01/2018,Telur Ayam Ras,25760
15/01/2018,Telur Ayam Kampung,2040
15/01/2018,Susu Kental Manis Kaleng Merk Bendera,12060
