TANGGAL,KOMODITI,SATUAN,HARGA
02/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,73333
03/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,68333
04/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,68333
07/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,66667
08/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,66667
09/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,63333
11/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,63333
14/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,68333
15/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,75000
16/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,70000
17/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,73333
18/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,60000
21/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,70000
22/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,66667
23/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,76667
24/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,73333
25/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,70000
28/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,72500
30/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,63333
31/05/2018,Daging Sapi, Lokal, Daging, Tetelan,Kg,68333
02/05/2018,Daging Sapi, Impor, Beku,Kg,95000
03/05/2018,Daging Sapi, Impor, Beku,Kg,90000
04/05/2018,Daging Sapi, Impor, Beku,Kg,90000
07/05/2018,Daging Sapi, Impor, Beku,Kg,85000
08/05/2018,Daging Sapi, Impor, Beku,Kg,85000
09/05/2018,Daging Sapi, Impor, Beku,Kg,85000
11/05/2018,Daging Sapi, Impor, Beku,Kg,85000
14/05/2018,Daging Sapi, Impor, Beku,Kg,83350
15/05/2018,Daging Sapi, Impor, Beku,Kg,83350
16/05/2018,Daging Sapi, Impor, Beku,Kg,83350
17/05/2018,Daging Sapi, Impor, Beku,Kg,83350
18/05/2018,Daging Sapi, Impor, Beku,Kg,73350
21/05/2018,Daging Sapi, Impor, Beku,Kg,85000
22/05/2018,Daging Sapi, Impor, Beku,Kg,85000
23/05/2018,Daging Sapi, Impor, Beku,Kg,85000
24/05/2018,Daging Sapi, Impor, Beku,Kg,84150
25/05/2018,Daging Sapi, Impor, Beku,Kg,84150
28/05/2018,Daging Sapi, Impor, Beku,Kg,84150
30/05/2018,Daging Sapi, Impor, Beku,Kg,84150
31/05/2018,Daging Sapi, Impor, Beku,Kg,85000
02/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,141667
03/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,145000
04/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,145000
07/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,151667
