tanggal ,komoditi,satuan,harga
2018-10-03,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-04,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-05,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-08,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-09,"Daging Sapi, Lokal, Has Dalam",Kg,151667
2018-10-10,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-11,"Daging Sapi, Lokal, Has Dalam",Kg,150000
2018-10-12,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-15,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-16,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-17,"Daging Sapi, Lokal, Has Dalam",Kg,148333
2018-10-18,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-19,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-22,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-23,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-24,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-25,"Daging Sapi, Lokal, Has Dalam",Kg,150000
2018-10-26,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-29,"Daging Sapi, Lokal, Has Dalam",Kg,146667
2018-10-30,"Daging Sapi, Lokal, Has Dalam",Kg,148333
2018-10-31,"Daging Sapi, Lokal, Has Dalam",Kg,143333
2018-10-01,Ayam Boiler,ekor,36940
2018-10-02,Ayam Boiler,ekor,34940
2018-10-03,Ayam Boiler,ekor,34940
2018-10-04,Ayam Boiler,ekor,36740
2018-10-05,Ayam Boiler,ekor,36540
2018-10-08,Ayam Boiler,ekor,36740
2018-10-09,Ayam Boiler,ekor,34940
2018-10-10,Ayam Boiler,ekor,38740
2018-10-11,Ayam Boiler,ekor,37540
2018-10-12,Ayam Boiler,ekor,38940
2018-10-15,Ayam Boiler,ekor,38540
2018-10-16,Ayam Boiler,ekor,37940
2018-10-17,Ayam Boiler,ekor,38940
2018-10-18,Ayam Boiler,ekor,38940
2018-10-19,Ayam Boiler,ekor,38940
2018-10-22,Ayam Boiler,ekor,38540
2018-10-23,Ayam Boiler,ekor,38740
2018-10-24,Ayam Boiler,ekor,38340
2018-10-25,Ayam Boiler,ekor,36540
2018-10-26,Ayam Boiler,ekor,36540
2018-10-29,Ayam Boiler,ekor,36940
2018-10-30,Ayam Boiler,ekor,36800
2018-10-31,Ayam Boiler,ekor,35800
2018-10-01,Ayam Kampung,ekor,88125
2018-10-02,Ayam Kampung,ekor,88750
2018-10-03,Ayam Kampung,ekor,88750
2018-10-04,Ayam Kampung,ekor,83750
2018-10-05,Ayam Kampung,ekor,88750
2018-10-08,Ayam Kampung,ekor,82500
2018-10-09,Ayam Kampung,ekor,93750
2018-10-10,Ayam Kampung,ekor,87500
2018-10-11,Ayam Kampung,ekor,87500
2018-10-12,Ayam Kampung,ekor,83750
2018-10-15,Ayam Kampung,ekor,83750
2018-10-16,Ayam Kampung,ekor,85000
2018-10-17,Ayam Kampung,ekor,89375
2018-10-18,Ayam Kampung,ekor,92500
2018-10-19,Ayam Kampung,ekor,86250
2018-10-22,Ayam Kampung,ekor,86250
2018-10-23,Ayam Kampung,ekor,86250
2018-10-24,Ayam Kampung,ekor,86250
2018-10-25,Ayam Kampung,ekor,84375
2018-10-26,Ayam Kampung,ekor,84375
2018-10-29,Ayam Kampung,ekor,84375
2018-10-30,Ayam Kampung,ekor,82075
2018-10-31,Ayam Kampung,ekor,90825
2018-10-01,Telur Ayam Ras,Kg,22040
2018-10-02,Telur Ayam Ras,Kg,22940
2018-10-03,Telur Ayam Ras,Kg,22440
2018-10-04,Telur Ayam Ras,Kg,22540
2018-10-05,Telur Ayam Ras,Kg,22440
2018-10-08,Telur Ayam Ras,Kg,22440
2018-10-09,Telur Ayam Ras,Kg,22940
2018-10-10,Telur Ayam Ras,Kg,22940
